# Iteration    J_value
 (2.080000000000000000e+02+0.000000000000000000e+00j)  (1.709117196349057774e-02+1.968239608653344257e-16j)
 (2.090000000000000000e+02+0.000000000000000000e+00j)  (1.721526520645678612e-02+1.802785467163662676e-16j)
 (2.100000000000000000e+02+0.000000000000000000e+00j)  (1.731209064819454191e-02+1.415492763132737786e-16j)
 (2.110000000000000000e+02+0.000000000000000000e+00j)  (1.742049965256733945e-02+5.459982747628194408e-17j)
 (2.120000000000000000e+02+0.000000000000000000e+00j)  (1.755122039686898144e-02+6.900290616386475246e-17j)
 (2.130000000000000000e+02+0.000000000000000000e+00j)  (1.765633435767833756e-02+9.494903976493816838e-17j)
 (2.140000000000000000e+02+0.000000000000000000e+00j)  (1.777665565879443105e-02-4.215334732326951889e-17j)
 (2.150000000000000000e+02+0.000000000000000000e+00j)  (1.788409368432156143e-02+8.164008182964620253e-18j)
 (2.160000000000000000e+02+0.000000000000000000e+00j)  (1.798362081416326336e-02+8.051618697642113102e-17j)
 (2.170000000000000000e+02+0.000000000000000000e+00j)  (1.810694599895631973e-02-1.442336656190153161e-16j)
 (2.180000000000000000e+02+0.000000000000000000e+00j)  (1.821795423190835164e-02+4.740122272580652908e-18j)
 (2.190000000000000000e+02+0.000000000000000000e+00j)  (1.833223864584479154e-02+7.226920098769446487e-17j)
 (2.200000000000000000e+02+0.000000000000000000e+00j)  (1.844473641757318066e-02-5.029847498103468912e-18j)
 (2.210000000000000000e+02+0.000000000000000000e+00j)  (1.854421562521065686e-02+6.204910620384588644e-17j)
 (2.220000000000000000e+02+0.000000000000000000e+00j)  (1.866361699956141026e-02+1.327151373998086528e-16j)
 (2.230000000000000000e+02+0.000000000000000000e+00j)  (1.878025191363451654e-02-2.610290270301437962e-17j)
 (2.240000000000000000e+02+0.000000000000000000e+00j)  (1.887356022517433160e-02+1.539504161177690307e-16j)
 (2.250000000000000000e+02+0.000000000000000000e+00j)  (1.897215965116567926e-02+6.410222090888741423e-17j)
 (2.260000000000000000e+02+0.000000000000000000e+00j)  (1.909809045548920350e-02-3.874836898708694242e-17j)
 (2.270000000000000000e+02+0.000000000000000000e+00j)  (1.918786947972457232e-02+2.004019497071519058e-17j)
 (2.280000000000000000e+02+0.000000000000000000e+00j)  (1.929534313631976056e-02-6.495968050625278793e-17j)
 (2.290000000000000000e+02+0.000000000000000000e+00j)  (1.939685636420562104e-02+1.023303384068410974e-16j)
 (2.300000000000000000e+02+0.000000000000000000e+00j)  (1.951366201103109030e-02+3.332534822296170552e-17j)
 (2.310000000000000000e+02+0.000000000000000000e+00j)  (1.961765319193866861e-02+1.081929889498367522e-16j)
 (2.320000000000000000e+02+0.000000000000000000e+00j)  (1.971722135838219550e-02+7.073651564904263436e-17j)
 (2.330000000000000000e+02+0.000000000000000000e+00j)  (1.982547330697544824e-02-1.153975557203781046e-17j)
 (2.340000000000000000e+02+0.000000000000000000e+00j)  (1.990212978931393817e-02+9.301835972145315796e-17j)
 (2.350000000000000000e+02+0.000000000000000000e+00j)  (2.003162441599959723e-02+1.099443988925707225e-16j)
 (2.360000000000000000e+02+0.000000000000000000e+00j)  (2.012248664201066184e-02+6.418303163703215626e-17j)
 (2.370000000000000000e+02+0.000000000000000000e+00j)  (2.022778967525525745e-02+1.609254789694234943e-16j)
 (2.380000000000000000e+02+0.000000000000000000e+00j)  (2.034155043861576515e-02-4.934227512928446743e-17j)
 (2.390000000000000000e+02+0.000000000000000000e+00j)  (2.042718213841184308e-02-1.567428621839467598e-16j)
 (2.400000000000000000e+02+0.000000000000000000e+00j)  (2.052805028669533322e-02+1.662946241397962074e-17j)
 (2.410000000000000000e+02+0.000000000000000000e+00j)  (2.061658134506022186e-02-6.043594233612566462e-17j)
 (2.420000000000000000e+02+0.000000000000000000e+00j)  (2.072672531400506293e-02-3.446860872830026386e-18j)
 (2.430000000000000000e+02+0.000000000000000000e+00j)  (2.081920935470402134e-02+2.209439136610433430e-16j)
 (2.440000000000000000e+02+0.000000000000000000e+00j)  (2.092788314161278182e-02-1.199641982143620542e-16j)
 (2.450000000000000000e+02+0.000000000000000000e+00j)  (2.101302884873136947e-02+7.162054176844893399e-17j)
 (2.460000000000000000e+02+0.000000000000000000e+00j)  (2.112751747788689863e-02-1.712706363066329078e-17j)
 (2.470000000000000000e+02+0.000000000000000000e+00j)  (2.121274664145398475e-02+5.635684145563225579e-17j)
 (2.480000000000000000e+02+0.000000000000000000e+00j)  (2.128206773874381438e-02-2.720997397944826562e-17j)
 (2.490000000000000000e+02+0.000000000000000000e+00j)  (2.141482207750164748e-02+1.533038374221802725e-16j)
 (2.500000000000000000e+02+0.000000000000000000e+00j)  (2.149120023131322749e-02-2.074184684603805217e-16j)
 (2.510000000000000000e+02+0.000000000000000000e+00j)  (2.159521362733804462e-02-2.637417106695187339e-16j)
